,RR,TPP,SLP,comparedProfit
83,7,0.08399999999999999,0.012,-6144.000000000007
134,7,0.094,0.014,-6156.000000000007
131,7,0.088,0.014,-6171.000000000015
132,7,0.09,0.014,-6171.000000000015
451,3,0.08399999999999999,0.028000000000000004,-6181.0
450,3,0.082,0.028000000000000004,-6181.0
33,8,0.076,0.01,-6183.000000000004
220,5,0.082,0.018000000000000002,-6194.999999999993
119,5,0.064,0.014,-6198.000000000022
308,4,0.074,0.022,-6223.000000000004
307,4,0.072,0.022,-6223.000000000004
262,4,0.074,0.02,-6236.0
124,6,0.074,0.014,-6275.000000000011
259,4,0.068,0.02,-6285.000000000011
38,9,0.086,0.01,-6296.0
266,5,0.082,0.02,-6299.0
256,4,0.062000000000000006,0.02,-6305.000000000011
36,9,0.082,0.01,-6309.999999999993
37,9,0.08399999999999999,0.01,-6309.999999999993
686,3,0.094,0.038,-6314.999999999993
127,6,0.08,0.014,-6367.000000000007
443,3,0.068,0.028000000000000004,-6375.999999999993
212,4,0.066,0.018000000000000002,-6382.000000000022
219,5,0.08,0.018000000000000002,-6384.999999999993
270,5,0.09,0.02,-6410.000000000004
269,5,0.088,0.02,-6410.000000000004
82,7,0.082,0.012,-6462.000000000007
223,5,0.088,0.018000000000000002,-6485.000000000007
224,5,0.09,0.018000000000000002,-6485.000000000007
221,5,0.08399999999999999,0.018000000000000002,-6487.999999999996
222,5,0.086,0.018000000000000002,-6487.999999999996
123,6,0.072,0.014,-6557.000000000004
313,4,0.08399999999999999,0.022,-6585.000000000007
504,4,0.09799999999999999,0.03,-6586.000000000007
503,4,0.096,0.03,-6586.000000000007
505,4,0.09999999999999999,0.03,-6586.000000000007
268,5,0.086,0.02,-6592.000000000004
267,5,0.08399999999999999,0.02,-6592.000000000004
122,5,0.06999999999999999,0.014,-6595.000000000018
118,5,0.062000000000000006,0.014,-6624.000000000007
459,4,0.09999999999999999,0.028000000000000004,-6940.000000000004
458,4,0.09799999999999999,0.028000000000000004,-6940.000000000004
456,4,0.094,0.028000000000000004,-6980.000000000007
457,4,0.096,0.028000000000000004,-6980.000000000007
130,7,0.086,0.014,-7183.000000000015
129,6,0.08399999999999999,0.014,-7197.000000000007
128,6,0.082,0.014,-7197.000000000007
